# command: LEAN -j1 -M1536 -DautoImplicit=false -DrelaxedAutoImplicit=false --root=PROJECT_ROOT -o .tools/20260911-low-index-lean-513dc7cc/20260911T212203370603Z/olean/research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11DivisorRemaining/Audit.olean research/tasks/B699-Binomial/runs/20260911-low-index-lean-513dc7cc/lean/I11DivisorRemaining/Audit.lean
# cwd: PROJECT_ROOT
# started_utc: 2026-09-11T21:22:31.906621Z
# finished_utc: 2026-09-11T21:22:41.122665Z
# exit_code: 0
# timed_out: False
'Math.B699.I11DivisorFiniteCommon.normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_rate_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middle_rate_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.target_rate_le_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.block_ratio_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.block_linear_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.denominator_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_step_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_adjacent_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_le_adjacent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.rough_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.middle_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.ratio_rough' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_rough_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.ratio_middle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_middle_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.finite_binary_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.divisor_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.rationalDivisor_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.qContent_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.qContent_upper_row_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.qContent_adjacent_row_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorThreeTwo.bftContent_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.targetBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.middleBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.targetRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.middleRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.infiniteRate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.blockRatio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.numerator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.denominator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.target_base_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.target_rate_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.middle_rate_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.target_rate_le_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.block_ratio_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.block_linear_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.denominator_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_step_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_adjacent_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_le_adjacent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.rough_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.middle_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.ratio_rough' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_rough_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.ratio_middle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_middle_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.finite_binary_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.divisor_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.rationalDivisor_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.qContent_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.qContent_upper_row_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.qContent_adjacent_row_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Math.B699.I11DivisorFiveSeven.bftContent_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
