archive_sha256	index	kind	original_member	size	sha256	retained_path
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	20	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/code/ledger_core.py	5335	e7a1d44f42864b0dd08c9c6588f79ee14a0f0db0932a47a79c20dc20eb500dc2	objects/e7/e7a1d44f42864b0dd08c9c6588f79ee14a0f0db0932a47a79c20dc20eb500dc2.py
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	21	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/code/moment_core.py	4651	b31ec280778b10d23e59661fdc51e093a6786c76648bbec019eed63d3a9d8dd3	objects/b3/b31ec280778b10d23e59661fdc51e093a6786c76648bbec019eed63d3a9d8dd3.py
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	22	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/code/check_certificate.py	3476	0e0bc1ebf2a6e2257daf651fe2dc37a8640ebc862339f3a9b2f9f51d0a2871e6	objects/0e/0e0bc1ebf2a6e2257daf651fe2dc37a8640ebc862339f3a9b2f9f51d0a2871e6.py
41dad9bc3424c9fd5aa1831bf6087098edb5bf07703826c51eea2cc2bc8cc5f3	23	ordinary	B699-ProA-KSAT2-31-POSTTRACE-20260922-evidence/PROOFS.md	3780	62dc9a953c2b197a96f93cf69de62c6f011b876c6280d1d53cde7c017500ab74	objects/62/62dc9a953c2b197a96f93cf69de62c6f011b876c6280d1d53cde7c017500ab74.md
cb76919930aa3df2a27d0dd25a8a2a030104daca0c8e4ba6a3faa31be0532cf8	35	archive	A-i9-ALL-SESSION-OUTPUTS-2026-09-24/rounds/02_KSAT37-42-KSAT2-31-COVER8/originals/B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence.zip	1613159	61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	0	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/CLEAN_REPLAY_RECEIPT.json	728	ce86deba183a2f05eca0e9fbbb372ab0cae69c783fd0b2ab8794b55d5ea1a152	objects/ce/ce86deba183a2f05eca0e9fbbb372ab0cae69c783fd0b2ab8794b55d5ea1a152.json
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	1	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/ENVIRONMENT.json	233	5abb7a58cb91ac4ea904e5ae3245e11d88ad8567dad594f0b462ccdfffcd9cec	objects/5a/5abb7a58cb91ac4ea904e5ae3245e11d88ad8567dad594f0b462ccdfffcd9cec.json
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	2	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/EVIDENCE_LEVEL.md	308	bc7defbb2818dda54b3ddd97c19dadea979826e051da6e60a915ddc95da15c4f	objects/bc/bc7defbb2818dda54b3ddd97c19dadea979826e051da6e60a915ddc95da15c4f.md
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	3	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/FAILURE_BOUNDARIES.md	1575	e5c8383ddb02396c9719a0e2b606badec76ce28ad6f1da79daed8d779590621a	objects/e5/e5c8383ddb02396c9719a0e2b606badec76ce28ad6f1da79daed8d779590621a.md
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	4	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/MANIFEST.json	26839	4f604263f154d8f78722fe291ce4a4dda5cd90f681ca3833f8f08c8078345ac3	objects/4f/4f604263f154d8f78722fe291ce4a4dda5cd90f681ca3833f8f08c8078345ac3.json
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	5	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/PACKAGE_CONTENTS.md	1302	64e5545d29adc512f8fbef7b21bd7b81db3f95a45d6e33f4b1f875416e3feac0	objects/64/64e5545d29adc512f8fbef7b21bd7b81db3f95a45d6e33f4b1f875416e3feac0.md
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	6	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/PROOFS.md	6340	c50aaf4b2af2db83d50a3b1d28d9885a83fef9f974470e70077b3d268594ad0e	objects/c5/c50aaf4b2af2db83d50a3b1d28d9885a83fef9f974470e70077b3d268594ad0e.md
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	7	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/README.md	929	ae98f5e6073fa8359a794d493e14e766a36999281a0fed23f11cb23cd63d98ec	objects/ae/ae98f5e6073fa8359a794d493e14e766a36999281a0fed23f11cb23cd63d98ec.md
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	8	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/REPLAY.md	1287	5335ddb6a7f85f0d97f71f5eb2013b34167cb2eb943690eef0ccc0fbb72d2025	objects/53/5335ddb6a7f85f0d97f71f5eb2013b34167cb2eb943690eef0ccc0fbb72d2025.md
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	9	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/REPORT.md	7427	3c4c1654ab400d4f4ff92726fc4e7aa752c12667886f50f0012e98b10be0daf8	objects/3c/3c4c1654ab400d4f4ff92726fc4e7aa752c12667886f50f0012e98b10be0daf8.md
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	10	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/SHA256SUMS.txt	16287	c98fe24c7470705a79908b33a60fd3fc88f669be91b214ec96a097241821f98e	objects/c9/c98fe24c7470705a79908b33a60fd3fc88f669be91b214ec96a097241821f98e.txt
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	11	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/SOURCE_ADOPTION.md	1516	9f04194146890a5c469994ac60893cd22f535edb08a0f0957ce62e716ab26ce7	objects/9f/9f04194146890a5c469994ac60893cd22f535edb08a0f0957ce62e716ab26ce7.md
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	12	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/cross_prime_spot_checks.json	1526	01c68760a5aca1f3b30bb884d58f8a4d3c875a864667f2a4e71483fb7474a446	objects/01/01c68760a5aca1f3b30bb884d58f8a4d3c875a864667f2a4e71483fb7474a446.json
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	13	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_000.in	13262	aacd3b63d72f9374ae6f664348f80e8f1e481d663930ba8f156e8ce22426339e	objects/aa/aacd3b63d72f9374ae6f664348f80e8f1e481d663930ba8f156e8ce22426339e.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	14	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_000.out	1328632	e4871705de474fbff4c8454c6f3d21a67621fcce9362a16902931a25afcaef43	objects/e4/e4871705de474fbff4c8454c6f3d21a67621fcce9362a16902931a25afcaef43.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	15	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_001.in	13274	dcf7560cd6a9fbb9ab024721a24dc99c3b1c3831f9a965315fbc46db032784fd	objects/dc/dcf7560cd6a9fbb9ab024721a24dc99c3b1c3831f9a965315fbc46db032784fd.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	16	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_001.out	1328639	f1bab1099a08975e34f10ab7b68ebe9c3f006a49513c3bfaea3439d4e947eff2	objects/f1/f1bab1099a08975e34f10ab7b68ebe9c3f006a49513c3bfaea3439d4e947eff2.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	17	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_002.in	13221	215900a19603013e4406890482013ded6282995c9a151642a8560314ab9fb63f	objects/21/215900a19603013e4406890482013ded6282995c9a151642a8560314ab9fb63f.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	18	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_002.out	1328647	207acb94762e9ba9ba624c91dd66a9ff3542927b20e283f83a7cddd33569aba6	objects/20/207acb94762e9ba9ba624c91dd66a9ff3542927b20e283f83a7cddd33569aba6.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	19	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_003.in	13218	f262a6640733fe8e9dcc73ef5230b396bbb9a2dd2f5753ebecbbf06d6e112b9a	objects/f2/f262a6640733fe8e9dcc73ef5230b396bbb9a2dd2f5753ebecbbf06d6e112b9a.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	20	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_003.out	1322748	9b7b0ec8384657dfc97fbdbf43f0e955a3b84f17037e22ef998bea7f66340a44	objects/9b/9b7b0ec8384657dfc97fbdbf43f0e955a3b84f17037e22ef998bea7f66340a44.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	21	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_004.in	13231	cc5c5cc312768fd0bbba37f31850e19eed6440bbfb19cebe4de5e5a6177cbcc6	objects/cc/cc5c5cc312768fd0bbba37f31850e19eed6440bbfb19cebe4de5e5a6177cbcc6.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	22	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/chunk_004.out	1322742	0fb0f1604bcf2b58f57e93c6cb4c89244e8a1bc9c9a40efc8e60fd17f51539fb	objects/0f/0fb0f1604bcf2b58f57e93c6cb4c89244e8a1bc9c9a40efc8e60fd17f51539fb.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	23	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/gates_full.txt	66206	a43364e3f67a62ec06733d2bf04bbc4691eae33d779e881503aed0b4840a5442	objects/a4/a43364e3f67a62ec06733d2bf04bbc4691eae33d779e881503aed0b4840a5442.txt
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	24	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT2_q31/receipt.json	2179	743308f1f1cff5420e144a642a0f491aba5616d94bf90bedb75f0e973ee089ed	objects/74/743308f1f1cff5420e144a642a0f491aba5616d94bf90bedb75f0e973ee089ed.json
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	25	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_000.in	11846	7d6cca08363fd95af6a75f9e103717874b4e8b92a35e30309e7d1c6e11e8773b	objects/7d/7d6cca08363fd95af6a75f9e103717874b4e8b92a35e30309e7d1c6e11e8773b.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	26	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_000.out	1538325	7c08ba51e55a1a41fcf47b34e08eb56049bb1e4132f8d03db1c19f86a762cfc8	objects/7c/7c08ba51e55a1a41fcf47b34e08eb56049bb1e4132f8d03db1c19f86a762cfc8.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	27	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_001.in	3572	4ff5b895de21d507ed5ed2b319bada64526e95cf2f6b0838764436afae33af72	objects/4f/4ff5b895de21d507ed5ed2b319bada64526e95cf2f6b0838764436afae33af72.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	28	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_001.out	464046	5fa9ad41dec3ff405819e72d9100d72327ddd3dd475a1ee18c7b429d3ffc3119	objects/5f/5fa9ad41dec3ff405819e72d9100d72327ddd3dd475a1ee18c7b429d3ffc3119.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	29	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_002.in	3617	8f7180d4cc6219809f48d4ce0b7cfc85a0befef82833cd559f30e970bd3319b3	objects/8f/8f7180d4cc6219809f48d4ce0b7cfc85a0befef82833cd559f30e970bd3319b3.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	30	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_002.out	472644	0a89f7daccae34a189b8f344a0677668b656cf4c1103dec2dc23e4e959c6df79	objects/0a/0a89f7daccae34a189b8f344a0677668b656cf4c1103dec2dc23e4e959c6df79.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	31	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_003.in	3569	defa0c88864b8f659e1d6b958d85ccd7e4e7425c71e1e013713ea41738bb007e	objects/de/defa0c88864b8f659e1d6b958d85ccd7e4e7425c71e1e013713ea41738bb007e.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	32	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_003.out	464043	f2ff2aa628225367f2a58f775d5982b1e0a405a97d94c3ea15eb722efbf8be34	objects/f2/f2ff2aa628225367f2a58f775d5982b1e0a405a97d94c3ea15eb722efbf8be34.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	33	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_004.in	3516	a127809808723cd9bf273f863d9f169c7f720c127cc7584d5932413975901f2b	objects/a1/a127809808723cd9bf273f863d9f169c7f720c127cc7584d5932413975901f2b.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	34	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_004.out	455450	a947515fcff832ede226d22bc5b8001ffa24e48f66274035fae9bc4b1c5b6b5f	objects/a9/a947515fcff832ede226d22bc5b8001ffa24e48f66274035fae9bc4b1c5b6b5f.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	35	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_005.in	3562	cb80c367d7fa03d92743fc9363986850b3e1448f01be081b61e848e31f9503ae	objects/cb/cb80c367d7fa03d92743fc9363986850b3e1448f01be081b61e848e31f9503ae.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	36	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/chunk_005.out	464046	1fb8a95fb43d3a3a26a847969c36e1758fbed0a82966607922f40a36772e264e	objects/1f/1fb8a95fb43d3a3a26a847969c36e1758fbed0a82966607922f40a36772e264e.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	37	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/gates_full.txt	29682	4e724adcc0f46810d61522367eda7c50effc13fecba03721ad3406f9c43e7636	objects/4e/4e724adcc0f46810d61522367eda7c50effc13fecba03721ad3406f9c43e7636.txt
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	38	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q37/receipt.json	2522	1e72f33533c22021a0a54876cedaf32d8fa7b26569079528ee54b129725d3555	objects/1e/1e72f33533c22021a0a54876cedaf32d8fa7b26569079528ee54b129725d3555.json
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	39	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q38/chunk_000.in	6938	626b41aec70c0ea4e7ed5ef43b309897177276e14fe0cb689ada8cfaa945ec25	objects/62/626b41aec70c0ea4e7ed5ef43b309897177276e14fe0cb689ada8cfaa945ec25.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	40	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q38/chunk_000.out	945417	b9514c651e1572eae9c95cabd62ee5d2791d64be94d8cae772429d8d2ad4f443	objects/b9/b9514c651e1572eae9c95cabd62ee5d2791d64be94d8cae772429d8d2ad4f443.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	41	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q38/chunk_001.in	6856	a3ad18a288075ba7d7d460dfc52a1648a74bb342cd5dbd71f650109c04921010	objects/a3/a3ad18a288075ba7d7d460dfc52a1648a74bb342cd5dbd71f650109c04921010.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	42	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q38/chunk_001.out	936313	7c58206800d563a8aa511788e9cf21c78168c97ccc48fe011e91b80bcaf07046	objects/7c/7c58206800d563a8aa511788e9cf21c78168c97ccc48fe011e91b80bcaf07046.out
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	43	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q38/chunk_002.in	6875	3e77ae2831a033f4fec6cbbf4c4e0e65bc6c2f57ea01f2c5233463ec1a7fd260	objects/3e/3e77ae2831a033f4fec6cbbf4c4e0e65bc6c2f57ea01f2c5233463ec1a7fd260.in
61cb2bd814cbea1f31445f78b31de27478e9e892d5ff9123bf293233dd81bdbd	44	ordinary	B699-ProA-KSAT37-42-KSAT2-31-COVER8-20260922-evidence/certificates/geometry/KSAT_q38/chunk_002.out	936318	f0d6414dbcfc0460e387f62e77d714c6e415e4bad6dad0b9e83b098668e2e5b8	objects/f0/f0d6414dbcfc0460e387f62e77d714c6e415e4bad6dad0b9e83b098668e2e5b8.out
